# StatCan survey → subject mapping. EDIT THE `subjects` COLUMN (the last one).
#
# The taxonomy is Statistics Canada’s, captured from their subject facet. The assignment is
# ours and is not published anywhere fetchable, so this file is the source of truth for it.
#
# Format: pipe-separate multiple subjects, e.g.  Health|Children and youth
#         leave blank to leave a survey unclassified (shown as unclassified, not guessed).
# Spelling must match the taxonomy exactly; the loader reports anything it does not recognize.
#
# suggest_name    — from the official survey title. Higher precision; a title is a deliberate label.
# suggest_content — from variable text. Lower precision: it filed CHMS under Languages and put
#                   Transportation on CCHS. Offered for reference, not as an answer.
#
survey_group	acronym	records	official_name	suggest_name	subjects	suggest_content
SSPCW4_SEGCV4_2023	SSPCW4	193				Society and community
SBASCC_EMGAAEC	SBASCC	188	Survey on Before and After School Care in Canada (SBASCC)	Education, training and learning		Transportation|Children and youth|Education, training and learning|Families, households and marital status
SAPM_ETIA_2023	SAPM	185				Digital economy and society
CSSW4_ESCV4_2024	CSSW4	182				Transportation|Housing|Families, households and marital status
SSFNPMI_SEPNMI	SSFNPMI	179	Survey Series on First Nations People&#44; M&#233;tis and Inuit (SSFNPMI)	Indigenous peoples		Health|Transportation|Indigenous peoples
CNICS_ENCVE_2015	CNICS	179	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Children and youth
CSSW3_ESCV3_2024	CSSW3	177				Housing
SNPS_SDIP_2018	SNPS	177				
CCAHS_ECSAC_2021	CCAHS	175	Canadian COVID-19 Antibody and Health Survey (CCAHS)	Health		Health
CNICS_ECVNE_2011	CNICS	172	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		
CSSW1_ESCV1_2024	CSSW1	168				Health|Society and community
CNICS_ECVNE_2013	CNICS	164	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Children and youth
COHS_ECSB_C1	COHS	159	Canadian Oral Health Survey (COHS)	Health		Transportation|Families, households and marital status
CSSW3_ESCV3_2021	CSSW3	156				Families, households and marital status
CSSW2_ESCV2_2022	CSSW2	155				Transportation|Labour|Families, households and marital status|Children and youth
SSPCW5_SEGCV5_2024	SSPCW5	145				Immigration and ethnocultural diversity
NCS_ENC_2019	NCS	144				
CSSW1_ESCV1_2025	CSSW1	144				Environment|Society and community
CSSW4_ESCV4_2021	CSSW4	144				Families, households and marital status|Children and youth
CTNS_ECTN_2022	CTNS	141	Canadian Tobacco and Nicotine Survey (CTNS)	Health		Health
CSSW1_ESCV1_2022	CSSW1	140				Population and demography|Society and community|Immigration and ethnocultural diversity|Housing
SSPCW1_SEGCV1_2023	SSPCW1	137				Society and community|Immigration and ethnocultural diversity
SELCCA_EMAGJE_2023	SELCCA	137	Survey on Early Learning and Child Care Arrangements (SELCCA)	Education, training and learning|Children and youth		Children and youth|Transportation|Families, households and marital status|Education, training and learning
CSSW1_ESCV1_2023	CSSW1	136				Families, households and marital status|Housing
SELCCA_EMAGJE_2019	SELCCA	133	Survey on Early Learning and Child Care Arrangements (SELCCA)	Education, training and learning|Children and youth		Transportation|Children and youth|Families, households and marital status|Education, training and learning
CSEW_ECBE_2013	CSEW	131				Families, households and marital status|Labour|Income, pensions, spending and wealth
CHS_ECL_2021_APIM	CHS	131				Families, households and marital status|Income, pensions, spending and wealth
SELCCA_EMAGJE_2022	SELCCA	131	Survey on Early Learning and Child Care Arrangements (SELCCA)	Education, training and learning|Children and youth		Children and youth|Transportation|Families, households and marital status|Education, training and learning
SEWS_EECP	SEWS	129				Business performance and ownership|Education, training and learning
CSSW3_ESCV3_2022	CSSW3	128				Society and community
CHS_ECL_2008_2017_T1FF_T4	CHS	122				Income, pensions, spending and wealth|Families, households and marital status
SSPCW3_SEGCV3_2023	SSPCW3	121				Society and community
CHMS Biobank	CHMS	118	Canadian Health Measures Survey (CHMS)	Health		Transportation
CTNS_ECTN_2021	CTNS	118	Canadian Tobacco and Nicotine Survey (CTNS)	Health		Health
PCS_PSC_2021	PCS	116				Population and demography
CTNS_ECTN_2020	CTNS	115	Canadian Tobacco and Nicotine Survey (CTNS)	Health		Health
NCS_ENC_2020	NCS	108				
SSPC_SEGC_2022	SSPC	107				Society and community|Immigration and ethnocultural diversity
CNICS_ENCVE_2019_PW	CNICS	100	Childhood National Immunization Coverage Survey (CNICS)	Children and youth		Population and demography|Children and youth|Health|Transportation
CSSW3_ESCV3_2023	CSSW3	95				
SSPD_EEPH_2020	SSPD	94				Health
DES_EEN_2018	DES	93				Digital economy and society|Income, pensions, spending and wealth|Labour
CHS_ECL_2018_ID_v2	CHS	90				Income, pensions, spending and wealth|Families, households and marital status
SOA_ESO_2017	SOA	71				Families, households and marital status
CHIRP_ENPIR_AllYears	CHIRP	66				Population and demography|Children and youth|Housing|Families, households and marital status
IMDB_BDIM	IMDB	63	Longitudinal Immigration Database (IMDB)	Immigration and ethnocultural diversity|Population and demography		
PSEW_EPBQ_2021	PSEW	53				Income, pensions, spending and wealth|Families, households and marital status
SAFSO_EAOSP	SAFSO	51	Survey on Accessibility in Federal Sector Organizations (SAFSO)			Transportation
VSSBD_SECM	VSSBD	44				Population and demography
SHRP_EPRS	SHRP	42				Science and technology|Health
FTD_UAD_0405	FTD	37				
NHS_SNL_Linkage_AllYears	NHS	22	National Household Survey (NHS)	Families, households and marital status		Transportation|Education, training and learning
CSD_ECI_R_2022	CSD	7	Canadian Survey on Disability (CSD)	Health		Population and demography
